RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01332.1684915800-1685761800.518-81:LOC	\N	L’arrêt Lamarck - Guy Môquet de la ligne BATIGNO n'est pas desservi en direction de Batignolles – Bichat. Reprise estimée : samedi 3 juin 2023, à partir de 03h10. Raison : travaux.	2023-05-24 06:11:07	2023-06-03 01:10:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01335.1680033600-1685588400.524-270:LOC	\N	La ligne NAVETTE est déviée : les arrêts situés entre Aimée Matterraz et Jean Zay ne sont plus desservis en direction de Les Alouettes. Reprise estimée : jeudi 1 juin 2023, à partir de 03h00. Raison : travaux.	2023-05-06 13:09:06	2023-06-01 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01395.1684792800-1685080800.N44-35:LOC	\N	L’arrêt La Plaine Saulnier de la ligne N44 n'est pas desservi en direction de Gare de Garges – Sarcelles <RER>. Reprise estimée : vendredi 26 mai 2023, à partir de 06h00. Raison : travaux.	2023-05-23 02:03:08	2023-05-26 04:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01397.1683410400-1689321060.N23-60:LOC	\N	La ligne N23 est déviée : les arrêts situés entre Salengro - Auffret et Gabriel Husson ne sont plus desservis en direction de Châtelet. Reprise estimée : vendredi 14 juillet 2023, à partir de 07h51. Raison : travaux.	2023-05-23 23:05:03	2023-07-14 05:51:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01401.1684194780-1685772000.N21-76:LOC	\N	L’arrêt Saint-Michel - Saint-Germain de la ligne N21 n'est pas desservi en direction de Hôpital de Longjumeau. Reprise estimée : samedi 3 juin 2023, à partir de 06h00. Raison : travaux.	2023-05-23 22:45:03	2023-06-03 04:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01409.1682896800-1704093600.N53-23:LOC	\N	La ligne N53 est déviée : les arrêts situés entre Charles de Gaulle - Étoile - Kléber et Haussmann - Courcelles ne sont plus desservis en direction de Gare St-Lazare. Durée : jusqu'à la fin des travaux.	2023-05-21 00:20:05	2024-01-01 06:20:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01807.1683686040-1685082840.N66-67:LOC	\N	L’arrêt Jean Zay - Maine de la ligne N66 n'est pas desservi en direction de Gare Montparnasse. Reprise estimée : vendredi 26 mai 2023, à partir de 06h34. Raison : travaux.	2023-05-21 01:37:07	2023-05-26 04:34:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C02205.1684094400-1704079800.98-227:LOC	\N	La ligne PC est déviée : les arrêts situés entre Porte Dauphine - Maréchal De Lattre De Tassigny et Porte Maillot - Pershing ne sont plus desservis en direction de Porte d'Asnières. Durée : jusqu'à la fin des travaux.	2023-05-23 10:25:10	2024-01-01 02:30:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C02246.1683886020-1690772400.71-254:LOC	\N	La ligne 71 est déviée : les arrêts situés entre Pyrénées - Belleville et D'Hautpoul ne sont plus desservis en direction de Porte de la Villette. Reprise estimée : lundi 31 juillet 2023, à partir de 03h00. Raison : travaux.	2023-05-23 19:15:05	2023-07-31 01:00:00
SNCF_ACCES_CLOUD:InfoMessage::279afc4a-978b-4cd3-a1da-b236b6785cde-20230524T140833050Z:LOC	\N	Ligne B : Les trains sont terminus Aéroport CDG1 jusqu'à 16h30. Motif affaires oubliés à CDG 2. Accès CDG2 par navette CDGVAL. To reach Airport CDG2, use CDGVAL shuttle at CDG1.	2023-05-24 14:08:34	2023-05-24 14:30:00
SNCF_ACCES_CLOUD:InfoMessage::44368fa8-cdc0-4253-98f8-2224688e7c40-20230504T205000000Z:LOC	\N	Plus aucun train ne circule dans votre gare ce soir. Bus de remplacement entre Sartrouville et Mantes la Jolie à l'extérieur de votre gare.	2023-04-21 14:54:41	2023-06-04 01:00:01
SNCF_ACCES_CLOUD:InfoMessage::56480389-b5f0-481b-9843-dc8b9700d340-20230522T020000000Z:LOC	\N	Travaux RER D : Du lundi 22/05 au vendredi 26/05, à partir de 23h30 aucun train ne circule entre Creil et Paris Gare de Lyon dans les 2 sens. Des bus de remplacement sont mis en place.	2023-05-18 17:02:51	2023-05-27 00:00:00
SNCF_ACCES_CLOUD:InfoMessage::67c6e527-0733-4f72-8010-be57957b6747-20230524T141141733Z:LOC	\N	Entre Aulnay-sous-Bois et Aéroport Charles de Gaulle 2 (Terminal 2) : trafic perturbé.	2023-05-24 14:11:42	2023-05-24 15:00:00
SNCF_ACCES_CLOUD:InfoMessage::7f141fc2-004d-4bbd-a3ad-435049b181e7-20230508T030000000Z:LOC	\N	Travaux J, en semaine le 15 et 16/05 et du 22 au 26/05 à partir de 22h10, aucun train entre Paris et Ermont et modification de desserte. Bus de remplacement.	2023-04-14 09:39:51	2023-05-27 01:00:00
SNCF_ACCES_CLOUD:InfoMessage::bdc05e04-4fb8-4a36-ab7d-62f19ae15989-20230522T020000000Z:LOC	\N	TRAVAUX WEEK-END RER C. Dimanche 28 et lundi 29 mai jusqu'à 17h, aucun train ne circule au sud de Juvisy.	2023-04-24 17:59:17	2023-05-29 21:50:00
SNCF_ACCES_CLOUD:InfoMessage::e8b50f53-1862-4f60-b98e-060abf91628f-20230329T184000000Z:LOC	\N	Ligne N : des travaux impactent votre ligne. Retrouvez toutes les informations sur l'appli Ile de France Mobilités, le site transilien.com et l'appli SNCF.	2023-04-28 03:57:39	2024-01-01 01:30:00
