ZdAId	ZdAName	ZdATown	ZdAPostalRegion
49010	Les Aubines	Sannois	95582
49008	Marcel Pagnol	Sannois	95582
422736	Victor Basch	Beauchamp	95051
423918	Légion d'Honneur	Saint-Germain-en-Laye	78551
57304	Stade	Coubron	93015
463507	Gare de Villeneuve-le-Roi P. Painlevé	Villeneuve-le-Roi	94077
48069	Jean Jaurès	Orly	94054
42214	Argonne / Rond Point du Piple	Sucy-en-Brie	94071
44549	Mairie	Noiseau	94053
46268	ZI Périchet	Le Mesnil-Amelot	77291
49823	Centre	Monthyon	77309
58721	Gare du Nord - Dunkerque	Paris 10e	75110
480859	Champs St Denis	Sucy-en-Brie	94071
58499	Ella Fitzgerald	Paris 19e	75119
58009	Les Châtelets	Sucy-en-Brie	94071
53543	Haiettes Elsa Triolet	Savigny-le-Temple	77445
53532	René Cassin	Savigny-le-Temple	77445
53520	Sablons	Nandy	77326
53545	Forêt de France	Savigny-le-Temple	77445
45844	Z.I. Les Tarterets	Corbeil-Essonnes	91174
53523	Vénerie	Nandy	77326
44010	Mairie	Tigery	91617
53507	Rosso	Moissy-Cramayel	77296
463701	Chanteloup Renoir	Moissy-Cramayel	77296
42701	Collège Jean Vilar	Vert-Saint-Denis	77495
53440	Ormeau Monge	Combs-la-Ville	77122
47609	Les Cordes	La Frette-sur-Seine	95257
427551	A5-2	Réau	77384
427280	Konrad Adenauer	Vert-Saint-Denis	77495
424799	Vignes	Houdan	78310
52068	Rue Saint-Martin	Villette	78677
474339	Les Carrières	Auffargis	78030
480744	Luzarches Provisoire	Luzarches	95352
44950	Toronto	Rungis	94065
472778	Chamarande	Chamarande	91132
49561	Paul Vaillant Couturier	Saint-Cyr-l'École	78545
48611	Villa Champ Lagarde	Versailles	78646
473334	Gare de Porchefontaine	Versailles	78646
46744	Bruxelles	Louvres	95351
42605	Chênes / Place Wathlingen	Villeparisis	77514
423629	Parc Corbrion / Ladoumègue	Mitry-Mory	77294
48807	La Fauvette	Le Perray-en-Yvelines	78486
48805	Pont Tarault	Le Perray-en-Yvelines	78486
42593	Chemin de Saint Denis	Le Thillay	95612
56363	Haute Borne	Chelles	77108
478458	Route d'Estouches	Méréville	91390
412627	Bouzonville - D921	Pithiviers-le-Vieil	45253
55341	Liberté	Darvault	77156
55310	Charles de Gaulle	Château-Landon	77099
425102	Montfort	Château-Landon	77099
55327	République	Château-Landon	77099
55311	Les Gauthiers	Château-Landon	77099
55998	ZA de Vallières	Thorigny-sur-Marne	77464
478984	Les Saules	Orly	94054
479020	Four - Peary	Choisy-le-Roi	94022
58588	Aéroport CDG - Terminal 2E	Le Mesnil-Amelot	77291
473242	Nemours Saint-Pierre / Gare SNCF	Nemours	77333
55452	Guinebert	Saint-Pierre-lès-Nemours	77431
48877	Centre Commercial	Franconville	95252
48653	Les Orantes	Bonnelles	78087
58187	Parc du Bel-Air	Ferrières-en-Brie	77181
52483	Montaigne	Esbly	77171
52482	Cézanne	Esbly	77171
55912	Village	Croissy-Beaubourg	77146
55822	Pré Longuet	Collégien	77121
53549	La Haie	Savigny-le-Temple	77445
420233	Résistance	Savigny-le-Temple	77445
54662	Dunant	La Celle-Saint-Cloud	78126
54661	Bendern	La Celle-Saint-Cloud	78126
415228	Rue des Fusillés	Vitry-sur-Seine	94081
51965	Jeanne d'Arc	Villeneuve-le-Roi	94077
58110	Les Pierrières	Villeneuve-le-Roi	94077
46381	Victor Hugo	Villeneuve-le-Roi	94077
463514	Rue de la Paix	Villeneuve-le-Roi	94077
52272	Foyer Jean Rostand	Villeneuve-le-Roi	94077
56302	Mont Chalats	Chelles	77108
58897	Cèdre	Bussy-Saint-Martin	77059
55861	Mairie	Chanteloup-en-Brie	77085
58157	Blancs Manteaux	Le Plessis-Gassot	95492
48939	Les Espérances	Ermont	95219
47562	Collège de l'Epine / Montédour	Franconville	95252
419856	9ème Avenue	Bessancourt	95060
57497	Jean Forget	Maffliers	95353
421237	Rue d'Argenteuil	Herblay	95306
422333	Pierre Curie	Cormeilles-en-Parisis	95176
52090	ZAC des Colonnes	Franconville	95252
52092	Esplanade	Taverny	95607
52302	Centre de Loisirs	Montigny-lès-Cormeilles	95424
51672	L'Orme aux Roses	Maffliers	95353
51676	Centre	Maffliers	95353
43982	Mairie	Villeparisis	77514
480528	Route de Machault	Vulaines-sur-Seine	77533
51744	AFTRAL - CHEP	Le Tremblay-sur-Mauldre	78623
55751	Sivry D605	Sivry-Courtry	77453
54587	Frépillon	Frépillon	95256
52132	Constantin Pecqueur	Taverny	95607
419839	Emy-les-Prés	Cormeilles-en-Parisis	95176
47551	Piretins - Hôtel de Ville	Sannois	95582
58918	Place	Ury	77477
419944	Gibert	Lagny-sur-Marne	77243
47870	La Villette aux Aulnes	Mitry-Mory	77294
55830	Sente Verte	Saint-Thibault-des-Vignes	77438
58042	Notre Dame - Rue Royale	Sucy-en-Brie	94071
58438	Rue d'Enghien	Eaubonne	95203
57610	Jacques Heuclin	Pontault-Combault	77373
52447	Marais	Coupvray	77132
47285	Fontaine Rouge	Chessy	77111
55878	Pointes	Thorigny-sur-Marne	77464
55957	Eglise	Gouvernes	77209
47307	Lagny Thorigny / Foch Paix Notre Dame	Lagny-sur-Marne	77243
55783	Les Marmousets	Serris	77449
55811	Place Thomas le Pileur	Serris	77449
47292	Georges Clémenceau	Lagny-sur-Marne	77243
47321	Lycée Perdonnet	Thorigny-sur-Marne	77464
58534	Mendès France	Bussy-Saint-Georges	77058
58533	Le Cantou	Chanteloup-en-Brie	77085
58486	CCI	Serris	77449
414685	Mairie	Pontcarré	77374
55772	Dhuis	Thorigny-sur-Marne	77464
55770	Rue du Marronnier	Favières	77177
55775	Eglise	Villeneuve-Saint-Denis	77510
55778	L'Orée du BOIS	Chanteloup-en-Brie	77085
55782	Alembert	Montévrain	77307
55796	Palissy	Bussy-Saint-Georges	77058
55854	Cerisiers	Thorigny-sur-Marne	77464
55866	Paris	Ferrières-en-Brie	77181
55880	Petits prés	Pomponne	77372
55802	Aureau	Lagny-sur-Marne	77243
55814	Plaine	Saint-Thibault-des-Vignes	77438
55825	Rentilly	Bussy-Saint-Martin	77059
55824	Bordes	Thorigny-sur-Marne	77464
55826	Sente des Vignes	Thorigny-sur-Marne	77464
55977	Juliette Vadel	Dampmart	77155
55980	La Chanée	Annet-sur-Marne	77005
55992	Clos des Charmes	Collégien	77121
55990	Le Gasset	Chanteloup-en-Brie	77085
55929	Voisins	Claye-Souilly	77118
55930	Pasteur	Gouvernes	77209
55934	Puits Du Gué	Montévrain	77307
55955	Jacqueline Auriol	Bussy-Saint-Georges	77058
53456	Grands Champs	Lieusaint	77251
45770	Victor Hugo	Combs-la-Ville	77122
53464	Pépinière	Lieusaint	77251
53477	Busteni	Moissy-Cramayel	77296
53418	Rose Des Vents	Cesson	77067
53504	Noyer Perrot	Moissy-Cramayel	77296
43713	Les Castors	Le Plessis-Pâté	91494
46656	Les Larris	Pontoise	95500
58162	Centre	Épinay-Champlâtreux	95214
56092	Bichereau	Thoury-Férottes	77465
420398	Clos Moissons	Briis-sous-Forges	91111
46865	Hameau Saint-Martin	Saint-Nom-la-Bretèche	78571
43299	Goudval	Saint-Nom-la-Bretèche	78571
46866	Orée de Saint Nom	Saint-Nom-la-Bretèche	78571
480020	Jacqueline Auriol	Gazeran	78269
480233	Ferme	Noisy-sur-École	77339
480141	Ecole Universalis	Louvres	95351
55024	Gourville	Prunay-en-Yvelines	78506
54848	Champarts	Ablis	78003
54847	Centre	Ablis	78003
53057	René Clair	Sainte-Geneviève-des-Bois	91549
45035	Village	Roissy-en-France	95527
55289	Launoy Centre	Blennes	77035
42313	Bellevue	Pontault-Combault	77373
47146	Rue du Bas Samois	Samois-sur-Seine	77441
426535	Port de la Celle	Saint-Mammès	77419
426520	Merlange	Saint-Germain-Laval	77409
43936	Mairie	Vaux-sur-Lunain	77489
56119	Mairie	Diant	77158
56115	Bois des Chevrons	Égreville	77168
49654	Clos Marie	Fontenay-en-Parisis	95241
49638	Collège Stendhal	Fosses	95250
47523	Le Beau Jay	Villaines-sous-Bois	95660
58159	Prés de Carnelle	Saint-Martin-du-Tertre	95566
58165	Bois des Bonnets	Asnières-sur-Oise	95026
46750	Collège François Mauriac	Louvres	95351
415755	Lilas	Plailly	60494
43797	Les Tilleuls	Le Plessis-Luzarches	95493
422308	Lacroix	Saint-Martin-du-Tertre	95566
479714	Vineuil	Saint-Mesmes	77427
473251	Gare de Crépy-en-Valois	Crépy-en-Valois	60176
44344	Pierre Marcille	Bondoufle	91086
477548	Bazin	Versailles	78646
47771	Frédéric Clément	Garches	92033
